placeName as written	Kima_Id	URI	Primary_Latin	Primary_Hebrew
Meurthe-et-Moselle (France)	11549	http://geo-kima.org/place/11549	Meurthe-et-Moselle (France)	מרת ומוזל (צרפת)
Ridāʻ (Yemen)	11568	http://geo-kima.org/place/11568	Ridāʻ (Yemen)	רידא (תימן)
Nowogródek (Poland)	11576	http://geo-kima.org/place/11576	Nowogródek (Poland)	נבהרדק (פולין)
Marion (Ind.)	11583	http://geo-kima.org/place/11583	Marion (Ind.)	מריון (אינדיאנה)
Boulogne-sur-Mer (France)	11586	http://geo-kima.org/place/11586	Boulogne-sur-Mer (France)	בולון-סור-מר (צרפת)
California, Southern	1159	http://geo-kima.org/place/1159	California, Southern	דרום קליפורניה
Fort Pierce (Fla.)	11590	http://geo-kima.org/place/11590	Fort Pierce (Fla.)	פורט פירס (פלורידה)
Subotica (Subotica, Serbia)	11594	http://geo-kima.org/place/11594	Subotica (Subotica, Serbia)	סובוטיקה (סובוטיקה, סרביה)
Sárvár (Hungary)	11595	http://geo-kima.org/place/11595	Sárvár (Hungary)	סארבר (הונגריה)
Olomouc (Czech Republic : Okres)	11611	http://geo-kima.org/place/11611	Olomouc (Czech Republic : Okres)	אולומואץ (צ'כיה : מחוז)
Neisse (Germany)	11613	http://geo-kima.org/place/11613	Neisse (Germany)	נייסה (גרמניה)
Żyrardów (Poland)	11623	http://geo-kima.org/place/11623	Żyrardów (Poland)	ז'ירדוב (פולין)
Magdeburg (Germany)	11627	http://geo-kima.org/place/11627	Magdeburg (Germany)	מגדהבורג (גרמניה)
Görlitz (Dresden, Germany)	11640	http://geo-kima.org/place/11640	Görlitz (Dresden, Germany)	גרליץ (דרזדן, גרמניה)
Ostrołęka (Ostrołęka, Poland)	11651	http://geo-kima.org/place/11651	Ostrołęka (Ostrołęka, Poland)	אוסטרולקה (אוסטרולקה, פולין)
Starai︠a︡ Russa (Russia)	11652	http://geo-kima.org/place/11652	Starai︠a︡ Russa (Russia)	סטאראיה רוסה (רוסיה)
Novoselyt︠s︡i︠a︡ (Chernivet︠s︡ʹka oblastʹ, Ukraine)	11673	http://geo-kima.org/place/11673	Novoselyt︠s︡i︠a︡ (Chernivet︠s︡ʹka oblastʹ, Ukraine)	נובוסליצה (מחוז צ'רניביאטסקאיה, אוקראינה)
Baranavichy (Belarus)	11689	http://geo-kima.org/place/11689	Baranavichy (Belarus)	ברנוביץ' (בלארוס)
Baranowicze (Poland)	11690	http://geo-kima.org/place/11690	Baranowicze (Poland)	ברנוביץ (פולין)
Guanajuato (Mexico)	11692	http://geo-kima.org/place/11692	Guanajuato (Mexico)	גואנחואטו (מקסיקו)
Quezaltenango (Guatemala)	11698	http://geo-kima.org/place/11698	Quezaltenango (Guatemala)	קוויזלטננגו (גואטמלה)
Yonne (France)	11713	http://geo-kima.org/place/11713	Yonne (France)	יון (צרפת)
Yonkers (N.Y.)	11722	http://geo-kima.org/place/11722	Yonkers (N.Y.)	יונקרס (ניו יורק)
Carpentras (France)	11746	http://geo-kima.org/place/11746	Carpentras (France)	קרפנטרס (צרפת)
Hamadān (Iran)	11749	http://geo-kima.org/place/11749	Hamadān (Iran)	המדאן (איראן)
Cape Cod (Mass.)	1175	http://geo-kima.org/place/1175	Cape Cod (Mass.)	קייפ קוד (מסצ'וסטס)
Kermanshah (Iran)	11750	http://geo-kima.org/place/11750	Kermanshah (Iran)	כרמאנשאה (איראן)
Szamotuły (Poland)	11753	http://geo-kima.org/place/11753	Szamotuły (Poland)	שמוטולי (פולין)
Balassagyarmat (Hungary)	11755	http://geo-kima.org/place/11755	Balassagyarmat (Hungary)	בלשג'רמט (הונגריה)
Gyöngyös (Hungary)	11758	http://geo-kima.org/place/11758	Gyöngyös (Hungary)	ג'ונג'וש (הונגריה)
Oświęcim (Poland)	11759	http://geo-kima.org/place/11759	Oświęcim (Poland)	אושויץ (פולין)
Tripoli (Libya)	11763	http://geo-kima.org/place/11763	Tripoli (Libya)	טריפולי (לוב)
Kisvárda (Hungary)	11780	http://geo-kima.org/place/11780	Kisvárda (Hungary)	קישורדא (הונגריה)
Baja (Hungary)	11784	http://geo-kima.org/place/11784	Baja (Hungary)	ביאה (הונגריה)
Náchod (Královéhradecký kraj, Czech Republic)	11789	http://geo-kima.org/place/11789	Náchod (Královéhradecký kraj, Czech Republic)	נאחוד (מחוז הראדץ קראלובה, צ'כיה)
El Cajon (Calif.)	11793	http://geo-kima.org/place/11793	El Cajon (Calif.)	אל קאחון (קליפורניה)
Grand Island (Neb.)	11819	http://geo-kima.org/place/11819	Grand Island (Neb.)	גרנד איילנד (נברסקה)
Bay Shore (N.Y.)	11822	http://geo-kima.org/place/11822	Bay Shore (N.Y.)	ביי שור (ניו יורק)
Ponta Delgada (Azores)	11823	http://geo-kima.org/place/11823	Ponta Delgada (Azores)	פונאה דלגדה (איים האזוריים)
Abbeville (France)	11863	http://geo-kima.org/place/11863	Abbeville (France)	אבויל (צרפת)
Asbury Park (N.J.)	11875	http://geo-kima.org/place/11875	Asbury Park (N.J.)	אסבורי פארק (ניו ג'רזי)
Krekenava (Lithuania)	11879	http://geo-kima.org/place/11879	Krekenava (Lithuania)	קרקינובה (ליטא)
Cuneo (Italy)	11886	http://geo-kima.org/place/11886	Cuneo (Italy)	קונאו (איטליה)
Zwolle (Netherlands)	11899	http://geo-kima.org/place/11899	Zwolle (Netherlands)	זוולה (הולנד)
Vinnyt︠s︡ʹka oblastʹ (Ukraine)	11909	http://geo-kima.org/place/11909	Vinnyt︠s︡ʹka oblastʹ (Ukraine)	מחוז ויניצה (אוקראינה)
Haltern in Westfalen (Germany)	11917	http://geo-kima.org/place/11917	Haltern in Westfalen (Germany)	הלטרן (גרמניה)
Korbach (Germany)	11924	http://geo-kima.org/place/11924	Korbach (Germany)	קורבך (גרמניה)
Marktheidenfeld (Germany)	11928	http://geo-kima.org/place/11928	Marktheidenfeld (Germany)	מרקטהיידנפלד (גרמניה)
Bergenfield (N.J.)	11937	http://geo-kima.org/place/11937	Bergenfield (N.J.)	ברגנפילד (ניו ג'רזי)
Mesa (Ariz.)	11948	http://geo-kima.org/place/11948	Mesa (Ariz.)	מסה (אריזונה)
Biel (Bern, Switzerland)	11951	http://geo-kima.org/place/11951	Biel (Bern, Switzerland)	ביל (ברן, שווייץ)
New Rochelle (N.Y.)	11953	http://geo-kima.org/place/11953	New Rochelle (N.Y.)	ניו רושל (ניו יורק)
Kosiv (Ukraine)	11968	http://geo-kima.org/place/11968	Kosiv (Ukraine)	קוסוב (אוקראינה)
Bechyně (Czech Republic)	11978	http://geo-kima.org/place/11978	Bechyně (Czech Republic)	בכינה (צ'כיה)
Monte-Carlo (Monaco)	11983	http://geo-kima.org/place/11983	Monte-Carlo (Monaco)	מונטה קרלו (מונקו)
Fair Lawn (N.J.)	12001	http://geo-kima.org/place/12001	Fair Lawn (N.J.)	פייר לאון (ניו ג'רזי)
Koło (Konin, Poland)	12012	http://geo-kima.org/place/12012	Koło (Konin, Poland)	קולו (קונין, פולין)
Beloit (Wis.)	12016	http://geo-kima.org/place/12016	Beloit (Wis.)	בלויט (ויסקונסין)
Darjeeling (India)	12032	http://geo-kima.org/place/12032	Darjeeling (India)	דרג'ילינג (הודו)
Irbīl (Iraq)	12037	http://geo-kima.org/place/12037	Irbīl (Iraq)	ארביל (עיראק)
Bernburg (Germany)	12049	http://geo-kima.org/place/12049	Bernburg (Germany)	ברנבורג (גרמניה)
Přerov (Olomoucký kraj, Czech Republic)	12051	http://geo-kima.org/place/12051	Přerov (Olomoucký kraj, Czech Republic)	פררוב (מחוז אולומואץ, צ'כיה)
Lambaréné (Moyen-Ogooué, Gabon)	12053	http://geo-kima.org/place/12053	Lambaréné (Moyen-Ogooué, Gabon)	למברנה (גבון)
Bad Mergentheim (Germany)	12066	http://geo-kima.org/place/12066	Bad Mergentheim (Germany)	באד מרגנטהיים (גרמניה)
Elbeuf (France)	12077	http://geo-kima.org/place/12077	Elbeuf (France)	אלבף (צרפת)
Bottrop (Germany)	12086	http://geo-kima.org/place/12086	Bottrop (Germany)	בוטרופ (גרמניה)
San Miguel de Allende (Mexico)	12101	http://geo-kima.org/place/12101	San Miguel de Allende (Mexico)	סן מיגל דה איינדה (מקסיקו)
Książ Wielki (Poland)	12107	http://geo-kima.org/place/12107	Książ Wielki (Poland)	קשוינז' (פולין)
Long Branch (N.J.)	12108	http://geo-kima.org/place/12108	Long Branch (N.J.)	לונג ברנץ' (ניו ג'רזי)
Aldershot (England)	12117	http://geo-kima.org/place/12117	Aldershot (England)	אלדרשוט (אנגליה)
Racibórz (Poland)	12118	http://geo-kima.org/place/12118	Racibórz (Poland)	רטיבור (פולין)
Mir (Belarus)	12124	http://geo-kima.org/place/12124	Mir (Belarus)	מיר (בלארוס)
Allegany County (N.Y.)	12132	http://geo-kima.org/place/12132	Allegany County (N.Y.)	מחוז אלגני (ניו יורק)
McAllen (Tex.)	12138	http://geo-kima.org/place/12138	McAllen (Tex.)	מק'אלן (טקסס)
Volynsʹka oblastʹ (Ukraine)	12159	http://geo-kima.org/place/12159	Volynsʹka oblastʹ (Ukraine)	מחוז ווהלין (אוקראינה)
Bougival (France)	12170	http://geo-kima.org/place/12170	Bougival (France)	בוגיבל (צרפת)
Bri︠a︡nsk (Russia)	12186	http://geo-kima.org/place/12186	Bri︠a︡nsk (Russia)	בריאנסק (רוסיה)
Michałowo (Białystok, Poland)	12195	http://geo-kima.org/place/12195	Michałowo (Białystok, Poland)	מיכאלובה (פולין)
En Gev (Israel)	122	http://geo-kima.org/place/122	En Gev (Israel)	עין גב (ישראל)
Lunel (France)	12204	http://geo-kima.org/place/12204	Lunel (France)	לוניל (צרפת)
Connellsville (Pa.)	12206	http://geo-kima.org/place/12206	Connellsville (Pa.)	קונלסוויל
Mezőkövesd (Hungary)	12207	http://geo-kima.org/place/12207	Mezőkövesd (Hungary)	מזוקובשד (הונגריה)
Velha Goa (India)	12229	http://geo-kima.org/place/12229	Velha Goa (India)	גואה העתיקה (הודו)
Bradford (West Yorkshire, England)	12230	http://geo-kima.org/place/12230	Bradford (West Yorkshire, England)	ברדפורד (יורקשייר המערבית, אנגליה)
Stoubtsy (Minskaia voblasts, Belarus)	12244	http://geo-kima.org/place/12244	Stoubtsy (Minskaia voblasts, Belarus)	סטוובצי (מחוז מינסק, בלארוס)
Merano (Italy)	12253	http://geo-kima.org/place/12253	Merano (Italy)	מראנו (איטליה)
Pottsville (Pa.)	12277	http://geo-kima.org/place/12277	Pottsville (Pa.)	פוטסוויל (פנסילבניה)
Sátoraljaújhely (Hungary)	12284	http://geo-kima.org/place/12284	Sátoraljaújhely (Hungary)	אוהל (הונגריה)
Travnik (Travnik, Bosnia and Hercegovina)	12285	http://geo-kima.org/place/12285	Travnik (Travnik, Bosnia and Hercegovina)	טראווניק (טראווניק, בוסניה והרצגובינה)
Tirana (Albania)	12295	http://geo-kima.org/place/12295	Tirana (Albania)	טירנה (אלבניה)
Quilmes (Argentina)	12308	http://geo-kima.org/place/12308	Quilmes (Argentina)	קילמס (ארגנטינה)
Skopje (Macedonia)	12323	http://geo-kima.org/place/12323	Skopje (Macedonia)	סקופיה (מקדוניה)
Brownsville (New York, N.Y.)	12357	http://geo-kima.org/place/12357	Brownsville (New York, N.Y.)	ברונזויל (ניו יורק, ניו יורק)
Wexford (Ireland)	12358	http://geo-kima.org/place/12358	Wexford (Ireland)	ווקספורד (אירלנד)
Siófok (Hungary)	12359	http://geo-kima.org/place/12359	Siófok (Hungary)	סיופוק (הונגריה)
Uddevalla (Sweden)	12361	http://geo-kima.org/place/12361	Uddevalla (Sweden)	אודוואלה (שבדיה)
Galați (Romania)	12366	http://geo-kima.org/place/12366	Galați (Romania)	גאלאץ (רומניה)
En Harod (Israel)	12370	http://geo-kima.org/place/12370	En Harod (Israel)	עין חרוד (ישראל)
Forbach (France)	12382	http://geo-kima.org/place/12382	Forbach (France)	פורבאק (צרפת)
Adana (Turkey)	12385	http://geo-kima.org/place/12385	Adana (Turkey)	אדנה (טורקיה)
Chania (Greece)	12409	http://geo-kima.org/place/12409	Chania (Greece)	חאניה (יוון)
Sokoły (Łomża, Poland)	12413	http://geo-kima.org/place/12413	Sokoły (Łomża, Poland)	סוקולי (לומזה, פולין)
Sambir (Sambirsʹkyĭ raĭon, Ukraine)	12414	http://geo-kima.org/place/12414	Sambir (Sambirsʹkyĭ raĭon, Ukraine)	סמבור (אוקראינה)
Pasco (Wash.)	12426	http://geo-kima.org/place/12426	Pasco (Wash.)	פסקו (וושינגטון)
Saxony-Anhalt (Germany)	12449	http://geo-kima.org/place/12449	Saxony-Anhalt (Germany)	סקסוניה-אנהלט (גרמניה)
Lithuania	12464	http://geo-kima.org/place/12464	Lithuania	ליטא
Flint (Mich.)	12466	http://geo-kima.org/place/12466	Flint (Mich.)	פלינט (מישיגן)
Blankenese (Hamburg, Germany)	12470	http://geo-kima.org/place/12470	Blankenese (Hamburg, Germany)	בלנקנזה (המבורג, גרמניה)
Kirov (Kirovskaia oblast, Russia)	12475	http://geo-kima.org/place/12475	Kirov (Kirovskaia oblast, Russia)	קירוב (מחוז קירוב, רוסיה)
Canary Islands	12479	http://geo-kima.org/place/12479	Canary Islands	האיים הקנריים
Wangen im Allgäu (Germany)	12489	http://geo-kima.org/place/12489	Wangen im Allgäu (Germany)	וונגן אם אלגוו (גרמניה)
Qayrawān (Tunisia)	12498	http://geo-kima.org/place/12498	Qayrawān (Tunisia)	קירואן (תוניסיה)
Lewiston (Me.)	12521	http://geo-kima.org/place/12521	Lewiston (Me.)	לויסטון (מיין)
Plainfield (N.J.)	12527	http://geo-kima.org/place/12527	Plainfield (N.J.)	פליינפילד (ניו ג'רזי)
Gloversville (N.Y.)	12528	http://geo-kima.org/place/12528	Gloversville (N.Y.)	גלוברסוויל (ניו יורק)
Cher (France)	12531	http://geo-kima.org/place/12531	Cher (France)	שר (צרפת)
Dorchester (Dorset, England)	12538	http://geo-kima.org/place/12538	Dorchester (Dorset, England)	דורצ'סטר (דורסט, אנגליה)
Łańcut (Poland)	12548	http://geo-kima.org/place/12548	Łańcut (Poland)	לנצוט (פולין)
Rastatt (Germany)	12549	http://geo-kima.org/place/12549	Rastatt (Germany)	ראסטט (גרמניה)
Toulon (France)	12551	http://geo-kima.org/place/12551	Toulon (France)	טולון (צרפת)
Pruz︠h︡any (Belarus)	12553	http://geo-kima.org/place/12553	Pruz︠h︡any (Belarus)	פרוז'ני (בלארוס)
Greenville (Miss.)	12561	http://geo-kima.org/place/12561	Greenville (Miss.)	גרינוויל (מיסיסיפי)
Long Beach (N.Y.)	12575	http://geo-kima.org/place/12575	Long Beach (N.Y.)	לונג ביץ' (ניו יורק)
Motalʹ (Belarus)	12594	http://geo-kima.org/place/12594	Motalʹ (Belarus)	מוטלה (בלארוס)
Mishmar Hasharon (Israel)	126	http://geo-kima.org/place/126	Mishmar Hasharon (Israel)	משמר השרון (ישראל)
Vejle (Denmark)	12607	http://geo-kima.org/place/12607	Vejle (Denmark)	ויילה (דנמרק)
Roz︠h︡yshche (Ukraine)	12619	http://geo-kima.org/place/12619	Roz︠h︡yshche (Ukraine)	רוז'ישץ' (אוקראינה)
Piraeus (Greece)	12620	http://geo-kima.org/place/12620	Piraeus (Greece)	פיראוס (יוון)
Bad Nauheim (Germany)	12628	http://geo-kima.org/place/12628	Bad Nauheim (Germany)	באד נאוהיים (גרמניה)
Aberdeenshire (Scotland)	12638	http://geo-kima.org/place/12638	Aberdeenshire (Scotland)	אברדינשייר (סקוטלנד)
Cornwall (Conn.)	12649	http://geo-kima.org/place/12649	Cornwall (Conn.)	קורנוול (קונטיקט)
Ajaccio (France)	12664	http://geo-kima.org/place/12664	Ajaccio (France)	אג'אסיו (צרפת)
Yeruham (Israel)	12665	http://geo-kima.org/place/12665	Yeruham (Israel)	ירוחם (ישראל)
Arad (Israel)	12671	http://geo-kima.org/place/12671	Arad (Israel)	ערד (ישראל)
Hoboken (N.J.)	12675	http://geo-kima.org/place/12675	Hoboken (N.J.)	הובוקן (ניו ג'רזי)
Monmouth (Wales)	12679	http://geo-kima.org/place/12679	Monmouth (Wales)	מונמות (ויילס)
Bayonne (N.J.)	12682	http://geo-kima.org/place/12682	Bayonne (N.J.)	באיון (ניו ג'רזי)
Kalush (Ukraine)	12692	http://geo-kima.org/place/12692	Kalush (Ukraine)	קלוש (אוקראינה)
Lut︠s︡ʹk (Ukraine)	127	http://geo-kima.org/place/127	Lut︠s︡ʹk (Ukraine)	לוצק (אוקראינה)
Springfield (Ohio)	12701	http://geo-kima.org/place/12701	Springfield (Ohio)	ספרינגפילד (אוהיו)
Český Těšín (Czech Republic)	12704	http://geo-kima.org/place/12704	Český Těšín (Czech Republic)	צ'סקי טסין (צ'כיה)
Scarsdale (N.Y.)	12706	http://geo-kima.org/place/12706	Scarsdale (N.Y.)	סקרסדייל (ניו יורק)
England	12708	http://geo-kima.org/place/12708	England	אנגליה
Nagykanizsa (Hungary)	12720	http://geo-kima.org/place/12720	Nagykanizsa (Hungary)	נג'קניז'ה (הונגריה)
Rawicz (Leszno, Poland)	12727	http://geo-kima.org/place/12727	Rawicz (Leszno, Poland)	רביץ' (פולין)
Ayrshire (Scotland)	12729	http://geo-kima.org/place/12729	Ayrshire (Scotland)	איירשייר (סקוטלנד)
Ustyluh (Ukraine)	12736	http://geo-kima.org/place/12736	Ustyluh (Ukraine)	אוסטילה (אוקראינה)
Wronki (Piła, Poland)	12745	http://geo-kima.org/place/12745	Wronki (Piła, Poland)	ורונקי (פולין)
Cheli︠a︡binskai︠a︡ oblastʹ (Russia)	12750	http://geo-kima.org/place/12750	Cheli︠a︡binskai︠a︡ oblastʹ (Russia)	מחוז צ'ליאבינסק (רוסיה)
Trakai (Lithuania)	12751	http://geo-kima.org/place/12751	Trakai (Lithuania)	טראקאי (ליטא)
Limpsfield (England)	12758	http://geo-kima.org/place/12758	Limpsfield (England)	לימפספילד (אנגליה)
Watertown (N.Y.)	12760	http://geo-kima.org/place/12760	Watertown (N.Y.)	ווטרטאון (ניו יורק)
Clinton (Mass.)	12761	http://geo-kima.org/place/12761	Clinton (Mass.)	קלינטון (מסצ'וסטס)
Arolsen (Germany)	12786	http://geo-kima.org/place/12786	Arolsen (Germany)	ארולזן (גרמניה)
Courbevoie (France)	12798	http://geo-kima.org/place/12798	Courbevoie (France)	קורבבוי (צרפת)
Asmara (Eritrea)	12802	http://geo-kima.org/place/12802	Asmara (Eritrea)	אסמרה (אריתריאה)
Hajdúnánás (Hungary)	12814	http://geo-kima.org/place/12814	Hajdúnánás (Hungary)	הידוננש (הונגריה)
Bukhoro (Uzbekistan)	12815	http://geo-kima.org/place/12815	Bukhoro (Uzbekistan)	בוכרה (אוזבקיסטן)
Astrakhan (Russia)	12816	http://geo-kima.org/place/12816	Astrakhan (Russia)	אסטרחן (רוסיה)
Berdi︠a︡nsʹk (Ukraine)	12834	http://geo-kima.org/place/12834	Berdi︠a︡nsʹk (Ukraine)	ברדיאנסק (אוקראינה)
Kitchener (Ont.)	12852	http://geo-kima.org/place/12852	Kitchener (Ont.)	קיצ'נר (אונטריו)
Alton (Ill.)	12855	http://geo-kima.org/place/12855	Alton (Ill.)	אלטון (אילינוי)
Olkusz (Poland)	12858	http://geo-kima.org/place/12858	Olkusz (Poland)	אולקוש (פולין)
